itow,gnssId,svId,cno,elev,azim,prRes,svUsed,health
112636000,0,4,39,-91,0,0.0,0,1
112636000,0,6,45,-91,0,0.0,0,0
112636000,0,9,48,-91,0,0.0,0,0
112636000,0,11,38,-91,0,0.0,0,0
112636000,0,12,36,-91,0,0.0,0,0
112636000,0,17,43,-91,0,0.0,0,0
112636000,0,19,44,-91,0,0.0,0,0
112636000,0,21,37,-91,0,0.0,0,0
112636000,0,28,0,-91,0,0.0,0,0
112636000,2,7,45,-91,0,0.0,0,1
