itow,gnssId,svId,sigId,cno,qualityInd,sigFlags
112636000,0,4,0,39,7,0x0001
112636000,0,6,0,45,7,0x0000
112636000,0,9,0,48,7,0x0000
112636000,0,11,0,38,7,0x0000
112636000,0,12,0,36,7,0x0000
112636000,0,17,0,43,7,0x0000
112636000,0,19,0,44,7,0x0000
112636000,0,21,0,37,7,0x0000
112636000,0,28,0,0,1,0x0000
112636000,2,7,0,45,7,0x0001
